573,Joel,Rosenberg
487,Harper,Lee
749,Ben,Hogan
546,Viet,Nguyen
670,Lucy,Spelman
645,William,Miller
286,H.R.,Publishing
109,Dave,Ramsey
693,Anna,Todd
24,David,McCullough
257,Karen,Ansel
415,Mark,Rippetoe
154,Thomas,Stanley
422,Ayaan,Ali
590,Patrice,Karst
347,Scholastic,Resources
380,American,Association
401,Bessel,MD
46,Elie,Wiesel
655,Susan,Thurman
650,Johann,Hari
560,Michael,Connelly
447,Adam,Makos
705,Jess,Walter
39,Philip,Glass
177,Paul,Tough
94,Bethenny,Frankel
402,Michael,Singer
133,Darren,Hardy
403,Eric,SEAL
540,Stuart,Woods
613,American,Pediatrics
782,The,Mountaineers
651,Anonymous,Anonymous
382,Don,Ruiz
243,Marco,White
230,Mickey,Trescott
804,Rick,Steves
196,Aaron,Franklin
232,Steven,Satterfield
162,Chris,McChesney
116,Travis,Bradberry
250,Bryan,Voltaggio
616,Julie,Ross
710,Fyodor,Dostoevsky
722,Hall,Education
91,Sadie,Robertson
566,Olen,Steinhauer
476,J.,Lasser
687,Janet,Evanovich
96,Peter,Slevin
789,Gary,Mack
574,Kay,Hooper
601,Dr.,Markham
461,Corrie,Boom
790,Rachel,Carson
664,Roger,Priddy
431,Howard,Zinn
317,Rosie,Alyea
366,Becky,Albertalli
275,Sara,Wells
740,Austin,Kleon
734,Joel,Harper
295,Joel,Karsten
239,Marc,Vetri
484,Joseph,Glannon
185,Roger,Price
15,Connor,Franta
335,Conrad,MD
314,Mindy,Weiss
502,F.,Fitzgerald
678,Dean,Koontz
29,Shane,Dawson
226,Christina,Tosi
338,David,Killoran
321,Frank,Bruni
581,Adele,Faber
118,Malcolm,Gladwell
688,William,Goldman
713,Peter,Mayle
519,Toni,Morrison
61,Anne,Frank
276,Irma,Rombauer
437,Michael,Bergman
304,Jones,Learning
217,William,Davis
513,Sara,Gruen
496,Ernest,Cline
307,Rosemary,Gladstar
324,Fareed,Zakaria
729,Foster,Provost
358,David,Nelson
646,Henry,Robert
474,Philip,Houston
